William Fich;1500;Capuchin monk, known as 'Father Benedict';mw40662.jpg
Johann Fichard;1500;German lawyer and biographer;mw256770.jpg
Thomas Howard, 3rd Duke of Norfolk;1500;Politician and uncle of Anne Boleyn and Catherine Howard;mw42734.jpg
Thomas Howard, 4th Duke of Norfolk;1500;Potential suitor to Mary, Queen of Scots;mw04686.jpg
Margaret Howard (née Dudley), Duchess of Norfolk;1500;Second wife of Thomas Howard, 4th Duke of Norfolk;mw127674.jpg
Richard Watts;1500;Businessman and politician, MP for Rochester;mw125682.jpg
John à Lasco;1500;Evangelical reformer;mw125647.jpg
Jerome Cardan;1500;Italian physician, mathematician and astrologer;mw125687.jpg
Anne Throckmorton (née Carew), Lady Throckmorton;1500;Wife of Sir Nicholas Throckmorton;mw127734.jpg
Sir Nicholas Throckmorton;1500;Diplomat;mw06339.jpg
Daniel Barbaro;1500;Venetian diplomat and theologian;mw43131.jpg
Ulisse Aldrovandi;1500;Italian naturalist, collector and writer;mw243859.jpg
Guillaume Leblanc;1500;French prelate, Bishop of Grasse;mw264375.jpg
William Parr, Marquess of Northampton;1500;Courtier;mw126570.jpg
George Carleton;1500;Bishop of Chichester;mw128908.jpg
Abraham Scultetus;1500;Theologian;mw129530.jpg
Henry Howard, 1st Earl of Northampton;1500;Lord Warden of the Cinque Ports;mw00166.jpg
John King;1500;Bishop of London;mw03644.jpg
Adam Elsheimer;1500;Painter, printmaker and draughtsman active in Italy;mw43259.jpg
Sir Henry Lee;1500;Master of the Ordnance;mw03838.jpg
Sir Thomas Percy, 7th Earl of Northumberland;1500;Executed for treason;mw80964.jpg
Henry Percy, 9th Earl of Northumberland;1500;Nobleman, linked to Gunpowder plot;mw128627.jpg
William Day;1500;Bishop of Winchester;mw126785.jpg
John Fisher;1500;Bishop of Rochester, cardinal and martyr;mw02233.jpg
Diego Sarmiento de Acuña, Count de Gondomar;1500;Spanish ambassador to England;mw149848.jpg
Charles Howard, 1st Earl of Nottingham;1500;Lord High Admiral;mw04714.jpg
Madeleine de Valois;1500;Queen Consort of James V of Scotland;mw124819.jpg
Henry Welby;1500;Recluse;mw132556.jpg
William Fitch (Benet of Canfield);1500;Capuchin friar;mw129132.jpg
Sir John van Olden Barnavelt (Johan van Oldenbarnevelt);1500;Dutch statesman;mw129497.jpg
John Harington, 1st Baron Harington of Exton;1500;Guardian of Princess Elizabeth;mw128671.jpg
Mary Herbert, Countess of Pembroke;1500;Writer and literary patron;mw07782.jpg
Jean Richardot;1500;President, Privy Council;mw00166 (1).jpg
Annibale Carracci;1500;Artist;mw119778.jpg
Bartholomew Carranza;1500;Archbishop of Toledo;mw19955.jpg
Pompone de Bellievre;1500;Chancellor of France;mw127931.jpg
William Allen;1500;Cardinal;mw126967.jpg
Theodor de Bry;1500;Engraver, editor and goldsmith;mw127655.jpg
John Penn (Pen);1500;Barber to King Henry VIII;mw58137.jpg
Bernard Gilpin;1500;The 'Apostle of the North';mw125996.jpg
Edward Alleyn;1500;Actor and founder of Dulwich College;mw134373.jpg
Alfonso de Castro (Alphonsus a Castro);1500;Franciscan theologian, Archbishop of Compostella;mw19955 (1).jpg
Juan de Castro;1500;Fourth viceroy of India;mw116066.jpg
Robert Sidney, 1st Earl of Leicester;1500;Courtier and poet, second son of Sir Henry Sidney;mw03854.jpg
John Maitland, 1st Baron Maitland;1500;Lord High Chancellor of Scotland;mw04165.jpg
Sir William Harper;1500;Lord Mayor of London;mw127425.jpg
Tiberius Decian;1500;Writer on law;mw82936.jpg
William Leigh;1500;Church of England clergyman;mw132566.jpg
Thomas Wentworth, 1st Baron Wentworth;1500;Lord Chamberlain;mw06692.jpg
Thomas Wentworth, 2nd Baron Wentworth;1500;Last Captain of Calais;mw06693.jpg
Daniel Tossanus;1500;Theologian;mw125435 (3).jpg
George Carew, Earl of Totnes;1500;Statesman;mw06371.jpg
John Carter;1500;Puritan and rector;mw129109.jpg
Marco Antonio de Dominis;1500;Dalmatian ecclesiastic, Archbishop of Spalatro and Dean of Windsor;mw128978.jpg
John Dee;1500;Mathematician and astrologer;mw127577.jpg
Sir Thomas Kitson;1500;Sheriff of London, Merchant, Mercer;mw125192.jpg
Henry Fitzroy, 1st Duke of Richmond and Somerset;1500;Royal bastard;mw124748.jpg
Ludovic Stuart, 1st Duke of Richmond and 2nd Duke of Lennox;1500;Nobleman, courtier and politician;mw05322.jpg
Bindo AltovitI;1500;Banker;mw43098.jpg
Thomas Cartwright;1500;Puritan divine;mw126900.jpg
Charles de Gontaut, duc de Biron;1500;Duc de Brion;mw127938.jpg
Sir Thomas Fleming;1500;Judge and tried Guy Fawkes;mw02262.jpg
Franciscus Junius the Elder;1500;Huguenot scholar and theologian;mw135069.jpg
Hadrianus Junius (Adriaen de Jonghe);1500;Physician, classical scholar, translator and humanist;mw126261.jpg
Isaac Casaubon;1500;Classical scholar and theologian;mw01132.jpg
Henry Bourchier, 2nd Earl of Essex;1500;Magnate;mw124753.jpg
Walter Devereux, 1st Earl of Essex;1500;Military commander and Earl-Marshal of Ireland;mw02130.jpg
Robert Devereux, 2nd Earl of Essex;1500;Soldier, favourite of Elizabeth I;mw09281.jpg
Frances Devereux (née Walsingham), Countess of Essex;1500;Former wife of Sir Philip Sidney and of 2nd Earl of Essex, and later wife of 4th Earl of Clanricarde;mw36500.jpg
Thomas Percy;1500;Organiser of the 'Gunpowder Plot';mw00381 (1).jpg
Matthew Stewart, 13th or 4th Earl of Lennox;1500;Magnate and Regent of Scotland;mw17085.jpg
Margaret Douglas, Countess of Lennox;1500;Mother of Lord Darnley;mw03875.jpg
Ralph Neville, 4th Earl of Westmorland;1500;Magnate;mw124753 (1).jpg
William Perkins;1500;Puritan divine;mw126890.jpg
William Shakespeare;1500;Dramatist and poet;mw11574.jpg
Mark Ridley;1500;Physician and mathematician;mw203112.jpg
Nicholas Ridley;1500;Bishop of London;mw05340.jpg
Robert Catesby;1500;Leader of the Gunpowder plot;mw00381 (2).jpg
Charles de l'Écluse (Carolus Clusius);1500;Doctor and Botanist;mw128042.jpg
Sir William Peryam;1500;Judge;mw04959.jpg
Lucas Trelcatius;1500;Theologian;mw127968.jpg
Catherine de' Medici;1500;Queen consort of France 1547-1559;mw273153.jpg
John Lesley (Leslie);1500;Bishop of Ross, historian, conspirator;mw126775.jpg
Matthias de Lobel (Lobelius);1500;Physician and botanist;mw128040.jpg
Cosimo I de' Medici, Grand Duke of Tuscany;1500;Grand Duke of Tuscany and Duke of Florence;mw140495.jpg
Patrick Forbes;1500;Bishop of Aberdeen;mw128946.jpg
Francis Godwin;1500;Bishop of Llandaff and Hereford;mw02602.jpg
Thomas Godwin;1500;Bishop of Bath and Wells;mw35489.jpg
Lancelot Andrewes;1500;Bishop of Winchester;mw128830.jpg
Thomas Cavendish;1500;Circumnavigator;mw80753.jpg
Sir John Pettus;1500;Mayor of Norwich and merchant;mw202096.jpg
Thomas Bates;1500;Gunpowder plot conspirator;mw00381 (3).jpg
William Harvey;1500;Herald;mw127428.jpg
Sir Roger Manwood;1500;Judge;mw04200.jpg
Philip II, King of Spain;1500;Husband of Mary I;mw04976.jpg
Thomas Cecil, 1st Earl of Exeter;1500;Soldier and statesman;mw02158.jpg
Anne, Queen of Hungary;1500;Wife of Ferdinand I, Holy Roman Emperor;mw128869.jpg
Anne of Cleves;1500;Fourth Queen of Henry VIII;mw136443.jpg
Anne of Denmark;1500;Queen of James I;mw202589.jpg
Princess Cecilia of Sweden;1500;Princess of Sweden, daughter to King Gustav I;mw127921.jpg
Sir Anthony Denny;1500;Courtier to King Henry VIII;mw125177.jpg
